frame,n_ai,n_man,count_diff,tp,fp,fn,precision,recall,f1,mean_iou
41.1.A_1sec-frame0,257,264,-7,230,27,34,0.8949416342412452,0.8712121212121212,0.8829174664107485,0.9752201407224781
42.1.A_1sec-frame0,126,144,-18,115,11,29,0.9126984126984127,0.7986111111111112,0.8518518518518519,0.9768346722647053
43.1.A_1sec-frame0,516,515,1,460,56,55,0.8914728682170543,0.8932038834951457,0.8923375363724539,0.9711885584297778
44.1.A_1sec-frame0,271,356,-85,241,30,115,0.8892988929889298,0.6769662921348315,0.7687400318979267,0.9504585516393323
45.1.A_1sec-frame0,171,183,-12,145,26,38,0.847953216374269,0.7923497267759563,0.8192090395480227,0.9636356007937957
46.1.A_1sec-frame0,436,473,-37,388,48,85,0.8899082568807339,0.8202959830866807,0.8536853685368537,0.9699995109229962
47.1.A_1sec-frame0,929,937,-8,775,154,162,0.8342303552206674,0.8271077908217717,0.8306538049303323,0.9702660676124921
48.1.A_1sec-frame0,231,257,-26,211,20,46,0.9134199134199135,0.8210116731517509,0.8647540983606558,0.9678928013413748
49.1.A_1sec-frame0,124,140,-16,109,15,31,0.8790322580645161,0.7785714285714286,0.8257575757575758,0.9622711945004748
5.1.A_1sec-frame0,611,672,-61,519,92,153,0.8494271685761048,0.7723214285714286,0.809041309431021,0.968013650019705
50.1.A_1sec-frame0,974,947,27,784,190,163,0.8049281314168378,0.8278775079197466,0.8162415408641334,0.9729131534193045
51.1.A_1sec-frame0,495,519,-24,437,58,82,0.8828282828282829,0.8420038535645472,0.8619329388560159,0.9639963522823024
52.1.A_1sec-frame0,294,286,8,255,39,31,0.8673469387755102,0.8916083916083916,0.8793103448275861,0.9848221642565571
53.1.A_1sec-frame0,1154,1023,131,752,402,271,0.6516464471403813,0.7350928641251222,0.6908589802480478,0.9700466475152086
54.1.A_1sec-frame0,388,434,-46,343,45,91,0.884020618556701,0.7903225806451613,0.8345498783454988,0.9639025339717786
55.1.A_1sec-frame0,79,86,-7,67,12,19,0.8481012658227848,0.7790697674418605,0.812121212121212,0.9753399881649626
56.1.A_1sec-frame0,90,110,-20,81,9,29,0.9,0.7363636363636363,0.81,0.9369620996532327
57.1.A_1sec-frame0,330,331,-1,291,39,40,0.8818181818181818,0.879154078549849,0.880484114977307,0.9761845137263714
58.1.A_1sec-frame0,444,425,19,368,76,57,0.8288288288288288,0.8658823529411764,0.8469505178365938,0.9743362843052895
59.1.A_1sec-frame0,74,76,-2,60,14,16,0.8108108108108109,0.7894736842105263,0.8,0.9687977268639568
6.1.A_1sec-frame0,537,526,11,454,83,72,0.845437616387337,0.8631178707224335,0.8541862652869238,0.9777760180937335
60.1.A_1sec-frame0,336,386,-50,295,41,91,0.8779761904761905,0.7642487046632125,0.817174515235457,0.9495359901319558
61.1.A_1sec-frame0,73,116,-43,53,20,63,0.726027397260274,0.45689655172413796,0.5608465608465609,0.8662271264301815
62.1.A_1sec-frame0,65,96,-31,56,9,40,0.8615384615384616,0.5833333333333334,0.6956521739130436,0.9864039332080559
63.1.A_1sec-frame0,1155,1071,84,892,263,179,0.7722943722943723,0.8328664799253035,0.8014375561545373,0.9802717924908424
64.1.A_1sec-frame0,180,173,7,152,28,21,0.8444444444444444,0.8786127167630058,0.8611898016997166,0.9826843604486479
65.1.A_1sec-frame0,504,501,3,432,72,69,0.8571428571428571,0.8622754491017964,0.8597014925373134,0.9752789231228699
66.1.A_1sec-frame0,159,157,2,135,24,22,0.8490566037735849,0.8598726114649682,0.8544303797468354,0.9857094558819169
67.1.A_1sec-frame0,208,242,-34,189,19,53,0.9086538461538461,0.78099173553719,0.8399999999999999,0.9658536154150335
68.1.A_1sec-frame0,137,159,-22,124,13,35,0.9051094890510949,0.779874213836478,0.8378378378378378,0.9678297909907824
69.1.A_1sec-frame0,738,675,63,588,150,87,0.7967479674796748,0.8711111111111111,0.8322717622080679,0.9687131902298125
7.1.A_1sec-frame0,317,309,8,288,29,21,0.9085173501577287,0.9320388349514563,0.9201277955271565,0.9735994951466493
70.1.A_1sec-frame0,144,144,0,123,21,21,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.977647730548363
71.1.A_1sec-frame0,359,357,2,303,56,54,0.8440111420612814,0.8487394957983193,0.846368715083799,0.961799172603608
72.1.A_1sec-frame0,121,131,-10,112,9,19,0.9256198347107438,0.8549618320610687,0.8888888888888888,0.951365753083943
73.1.A_1sec-frame0,370,361,9,278,92,83,0.7513513513513513,0.7700831024930748,0.7606019151846785,0.9553219504351882
74.1.A_1sec-frame0,280,296,-16,238,42,58,0.85,0.8040540540540541,0.8263888888888888,0.9774458600580422
75.1.A_1sec-frame0,168,204,-36,131,37,73,0.7797619047619048,0.6421568627450981,0.7043010752688171,0.9466425656324059
76.1.A_1sec-frame0,89,96,-7,71,18,25,0.797752808988764,0.7395833333333334,0.7675675675675675,0.9772710262816358
77.1.A_1sec-frame0,647,604,43,528,119,76,0.8160741885625966,0.8741721854304636,0.8441247002398081,0.969734388270781
78.1.A_1sec-frame0,519,510,9,455,64,55,0.8766859344894027,0.8921568627450981,0.8843537414965986,0.9748978384074011
79.1.A_1sec-frame0,815,748,67,660,155,88,0.8098159509202454,0.8823529411764706,0.8445297504798465,0.9751476161195863
8.1.A_1sec-frame0,338,325,13,298,40,27,0.8816568047337278,0.916923076923077,0.8989441930618401,0.9713254172864562
80.1.A_1sec-frame0,507,498,9,443,64,55,0.873767258382643,0.8895582329317269,0.881592039800995,0.9777800117644512
81.1.A_1sec-frame0,82,122,-40,74,8,48,0.9024390243902439,0.6065573770491803,0.7254901960784315,0.9612683130279881
82.1.A_1sec-frame0,156,256,-100,147,9,109,0.9423076923076923,0.57421875,0.7135922330097088,0.9886712624029017
83.1.A_1sec-frame0,963,1007,-44,880,83,127,0.9138110072689511,0.8738828202581926,0.8934010152284265,0.9828806614745508
84.1.A_1sec-frame0,296,357,-61,257,39,100,0.8682432432432432,0.7198879551820728,0.787136294027565,0.9755987568999884
85.1.A_1sec-frame0,315,348,-33,253,62,95,0.8031746031746032,0.7270114942528736,0.7631975867269984,0.9671244569942865
86.1.A_1sec-frame0,232,279,-47,214,18,65,0.9224137931034483,0.7670250896057348,0.837573385518591,0.979914800573973
87.1.A_1sec-frame0,755,744,11,652,103,92,0.8635761589403973,0.8763440860215054,0.8699132755170114,0.9772603320238279
88.1.A_1sec-frame0,342,354,-12,285,57,69,0.8333333333333334,0.8050847457627118,0.8189655172413792,0.9710221745299941
89.1.A_1sec-frame0,108,135,-27,101,7,34,0.9351851851851852,0.7481481481481481,0.831275720164609,0.9821948810365242
9.1.A_1sec-frame0,256,265,-9,217,39,48,0.84765625,0.8188679245283019,0.8330134357005757,0.9558609046989515
90.1.A_1sec-frame0,740,651,89,607,133,44,0.8202702702702702,0.9324116743471582,0.8727534148094895,0.9769764547159687
91.1.A_1sec-frame0,740,704,36,601,139,103,0.8121621621621622,0.8536931818181818,0.832409972299169,0.9796818245743582
92.1.A_1sec-frame0,648,728,-80,624,24,104,0.9629629629629629,0.8571428571428571,0.9069767441860465,0.988964620036084
93.1.A_1sec-frame0,398,370,28,334,64,36,0.8391959798994975,0.9027027027027027,0.8697916666666667,0.9879481220960893
94.1.A_1sec-frame0,355,336,19,303,52,33,0.8535211267605634,0.9017857142857143,0.8769898697539799,0.9862044027410556
95.1.A_1sec-frame0,932,1005,-73,925,7,80,0.9924892703862661,0.9203980099502488,0.9550851832731028,0.9982250836089022
96.1.A_1sec-frame0,236,245,-9,228,8,17,0.9661016949152542,0.9306122448979591,0.948024948024948,0.9906296092953489
97.1.A_1sec-frame0,131,145,-14,122,9,23,0.9312977099236641,0.8413793103448276,0.8840579710144928,0.9965146495282725
98.1.A_1sec-frame0,1022,1059,-37,992,30,67,0.9706457925636007,0.9367327667610954,0.9533877943296493,0.9945634357124314
99.1.A_1sec-frame0,264,255,9,234,30,21,0.8863636363636364,0.9176470588235294,0.9017341040462428,0.9875541108842905
