epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7755,4.56792,3.7507,0.00723,0,0,0,0,4.4907,3.59527,0.00781,8e-05,8e-05,8e-05
2,29.9458,4.56382,3.70458,0.00652,0,0,0,0,4.43692,3.61379,0.00771,0.000176436,0.000176436,0.000176436
3,32.375,3.50029,3.52119,0.00392,0,0,0,0,4.66573,3.83587,0.00902,0.000268912,0.000268912,0.000268912
4,34.9232,3.11151,3.30835,0.00307,0,0,0,0,4.08237,3.62635,0.00627,0.000357428,0.000357428,0.000357428
5,36.9598,2.89819,3.17,0.0027,0,0,0,0,2.74027,3.29251,0.00218,0.000441984,0.000441984,0.000441984
6,39.6109,3.19274,3.02842,0.00276,0,0,0,0,2.93276,3.18059,0.00228,0.00052258,0.00052258,0.00052258
7,41.7403,2.95809,2.81424,0.00246,0,0,0,0,3.2049,3.03218,0.0025,0.000599216,0.000599216,0.000599216
8,44.1706,2.93614,2.60264,0.00226,0,0,0,0,3.07435,2.89786,0.0024,0.000671892,0.000671892,0.000671892
9,46.3281,3.07335,2.4225,0.00239,0.02867,0.0222,0.02326,0.00661,2.90356,2.77506,0.0023,0.000740608,0.000740608,0.000740608
10,48.6695,3.13129,2.23488,0.00234,0.12383,0.09588,0.11412,0.03039,2.93096,2.73184,0.00232,0.000805364,0.000805364,0.000805364
11,51.0201,2.8348,2.01258,0.00208,0.12983,0.10053,0.10729,0.02892,2.96307,2.66214,0.00238,0.00086616,0.00086616,0.00086616
12,52.9364,2.77161,1.86334,0.00203,0.21583,0.16712,0.19117,0.0587,2.97221,2.47024,0.00239,0.000922996,0.000922996,0.000922996
13,55.1482,2.85416,1.718,0.00212,0.263,0.20364,0.24662,0.07808,2.95486,2.3625,0.00238,0.000975872,0.000975872,0.000975872
14,57.0189,2.77199,1.58856,0.00205,0.33583,0.26003,0.30737,0.09785,2.8922,2.13185,0.00231,0.00102479,0.00102479,0.00102479
15,59.3316,2.81932,1.47525,0.00203,0.42467,0.32882,0.38829,0.13808,2.6743,1.86043,0.00213,0.00106974,0.00106974,0.00106974
16,61.2124,2.65763,1.31394,0.00184,0.46517,0.36018,0.41692,0.14964,2.71059,1.72481,0.00215,0.00111074,0.00111074,0.00111074
17,62.9192,2.57874,1.19238,0.00182,0.66873,0.39011,0.46951,0.17404,2.65703,1.49602,0.00212,0.00114778,0.00114778,0.00114778
18,65.1921,2.65544,1.17424,0.00185,0.70932,0.38237,0.48773,0.18698,2.60048,1.38507,0.0021,0.00118085,0.00118085,0.00118085
19,67.0293,2.63695,1.14783,0.00185,0.72289,0.36921,0.49029,0.19755,2.50963,1.32048,0.00208,0.00120997,0.00120997,0.00120997
20,69.2984,2.50902,1.06707,0.00177,0.71699,0.40181,0.51279,0.21273,2.36853,1.22428,0.00191,0.00123512,0.00123512,0.00123512
21,71.3322,2.76411,1.12582,0.00195,0.6938,0.41259,0.50719,0.19096,2.49499,1.21614,0.00195,0.001208,0.001208,0.001208
22,73.7683,2.70035,1.08127,0.0018,0.68304,0.42493,0.50793,0.18755,2.52336,1.18209,0.00195,0.0011684,0.0011684,0.0011684
23,75.8225,2.55681,1.04118,0.00174,0.70618,0.45348,0.54312,0.21833,2.3616,1.10586,0.00182,0.0011288,0.0011288,0.0011288
24,78.4743,2.62903,1.03802,0.00177,0.71681,0.47748,0.57216,0.24637,2.21683,0.97936,0.00176,0.0010892,0.0010892,0.0010892
25,80.9731,2.55555,0.99849,0.00174,0.73099,0.48987,0.58778,0.24431,2.26725,0.96434,0.00178,0.0010496,0.0010496,0.0010496
26,83.5856,2.48819,1.01178,0.00171,0.74635,0.50019,0.59795,0.23505,2.3509,0.9629,0.00183,0.00101,0.00101,0.00101
27,86.0406,2.55879,1.03532,0.00171,0.75162,0.50376,0.59965,0.2316,2.39659,0.96794,0.00185,0.0009704,0.0009704,0.0009704
28,88.3511,2.45047,0.95829,0.00165,0.77423,0.52278,0.62732,0.2804,2.14189,0.88771,0.00164,0.0009308,0.0009308,0.0009308
29,90.9068,2.61202,0.97255,0.00174,0.77457,0.52543,0.62823,0.29042,2.06465,0.87311,0.00158,0.0008912,0.0008912,0.0008912
30,93.4132,2.45481,0.95354,0.00163,0.77447,0.5278,0.62938,0.29192,2.05841,0.86707,0.00158,0.0008516,0.0008516,0.0008516
31,95.9654,2.48298,0.96546,0.00163,0.7798,0.53323,0.63818,0.29946,2.02217,0.85784,0.00155,0.000812,0.000812,0.000812
32,98.405,2.48368,0.95495,0.00161,0.7942,0.54132,0.65005,0.30321,2.03528,0.84791,0.00154,0.0007724,0.0007724,0.0007724
33,100.542,2.43243,0.95449,0.00164,0.79619,0.54355,0.65266,0.29695,2.07583,0.85208,0.00156,0.0007328,0.0007328,0.0007328
34,102.554,2.40455,0.95583,0.00162,0.80086,0.5451,0.65607,0.30374,2.05502,0.84478,0.00156,0.0006932,0.0006932,0.0006932
35,104.704,2.43362,0.9457,0.00164,0.803,0.54603,0.65909,0.31403,2.00428,0.83793,0.00153,0.0006536,0.0006536,0.0006536
36,106.985,2.39371,0.93616,0.00162,0.81604,0.55349,0.67126,0.32692,1.98686,0.82394,0.00151,0.000614,0.000614,0.000614
37,109.16,2.64347,0.97469,0.00174,0.82262,0.55775,0.67676,0.32801,2.00032,0.82012,0.00152,0.0005744,0.0005744,0.0005744
38,111.453,2.46873,0.94008,0.00163,0.82527,0.55891,0.67977,0.32566,2.03266,0.81987,0.00154,0.0005348,0.0005348,0.0005348
39,113.755,2.51187,0.93868,0.00159,0.82469,0.5602,0.68042,0.32234,2.06004,0.82447,0.00156,0.0004952,0.0004952,0.0004952
40,115.998,2.39961,0.92846,0.00158,0.82919,0.56098,0.68216,0.31955,2.07237,0.83542,0.00156,0.0004556,0.0004556,0.0004556
41,128.542,2.54598,1.22606,0.00172,0.82093,0.55801,0.67676,0.31549,2.07716,0.85593,0.00155,0.000416,0.000416,0.000416
42,130.101,2.55297,1.23517,0.00171,0.8232,0.55504,0.67489,0.31375,2.07799,0.87401,0.00155,0.0003764,0.0003764,0.0003764
43,131.685,2.36361,1.15884,0.00166,0.81589,0.55646,0.67253,0.31413,2.06524,0.89273,0.00154,0.0003368,0.0003368,0.0003368
44,133.231,2.34846,1.12554,0.00161,0.8088,0.55736,0.6694,0.31382,2.04074,0.90383,0.00151,0.0002972,0.0002972,0.0002972
45,134.788,2.36746,1.0901,0.00169,0.81115,0.55651,0.67003,0.31911,2.00992,0.90167,0.00149,0.0002576,0.0002576,0.0002576
46,136.491,2.11645,1.01042,0.00154,0.80978,0.55504,0.66879,0.32164,1.9925,0.8987,0.00149,0.000218,0.000218,0.000218
47,138.254,2.20741,1.05124,0.00163,0.80935,0.55427,0.66818,0.32367,1.97821,0.90393,0.00148,0.0001784,0.0001784,0.0001784
48,140.122,2.19453,1.04523,0.00165,0.80692,0.55323,0.66581,0.32475,1.96309,0.91369,0.00147,0.0001388,0.0001388,0.0001388
49,141.942,2.23751,1.03018,0.00165,0.80725,0.55285,0.66484,0.32536,1.95798,0.91646,0.00147,9.92e-05,9.92e-05,9.92e-05
50,143.793,2.23013,1.01986,0.00159,0.81043,0.55156,0.66413,0.32482,1.95814,0.92373,0.00147,5.96e-05,5.96e-05,5.96e-05
