metric,mean_A,mean_B,mean_diff_B_minus_A,std_diff,CI_lower,CI_upper,t_stat,t_p_value,cohen_d,wilcoxon_stat,wilcoxon_p
mAP50,0.624296,0.6280619999999999,0.0037659999999999803,0.003931523877582372,-0.001115631656872524,0.008647631656872485,-2.141925692294801,0.09887371954796893,0.9578982901448946,2.0,0.1875
mAP50_95,0.299014,0.28600400000000004,-0.013009999999999989,0.008137527265699333,-0.023114074640220385,-0.0029059253597795917,3.5749489294979533,0.023272498222553333,-1.5987657644895055,0.0,0.0625
precision,0.798126,0.794122,-0.0040040000000000076,0.005228807703482711,-0.010496422278945004,0.002488422278944989,1.7122863738029184,0.16200639871513917,-0.765757745753988,2.0,0.1875
recall,0.5043259999999999,0.504948,0.0006220000000000004,0.0007174050459816868,-0.00026877601772517786,0.0015127760177251785,-1.9387015602903548,0.12456306766906138,0.8670136953788281,1.0,0.25
