epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3043,4.76566,3.77857,0.00754,0,0,0,0,4.4907,3.59527,0.00781,8e-05,8e-05,8e-05
2,16.6766,4.59902,3.70212,0.00626,0,0,0,0,4.37774,3.60257,0.00748,0.000176436,0.000176436,0.000176436
3,19.1735,3.5778,3.51794,0.00398,0,0,0,0,4.6507,3.7521,0.00864,0.000268912,0.000268912,0.000268912
4,21.7261,3.20779,3.29581,0.00314,0,0,0,0,3.90819,3.59282,0.00557,0.000357428,0.000357428,0.000357428
5,23.7429,3.00113,3.1487,0.0028,0,0,0,0,2.76015,3.28824,0.00221,0.000441984,0.000441984,0.000441984
6,26.0727,3.25195,3.00244,0.00279,0,0,0,0,2.91726,3.17378,0.00229,0.00052258,0.00052258,0.00052258
7,27.9243,2.96964,2.84529,0.00247,0,0,0,0,2.88145,3.03089,0.00227,0.000599216,0.000599216,0.000599216
8,30.3137,2.99105,2.63138,0.00236,0,0,0,0,2.85447,2.92229,0.00231,0.000671892,0.000671892,0.000671892
9,32.4825,3.08405,2.4138,0.00239,0.06767,0.05239,0.05588,0.01695,2.81677,2.78657,0.00234,0.000740608,0.000740608,0.000740608
10,34.8474,3.19555,2.22171,0.00238,0.1185,0.09175,0.10486,0.0299,2.93552,2.76648,0.00247,0.000805364,0.000805364,0.000805364
11,37.2252,2.96089,2.03984,0.00215,0.18583,0.14389,0.16883,0.05119,2.94338,2.55825,0.00244,0.00086616,0.00086616,0.00086616
12,39.3826,2.8559,1.90198,0.00207,0.29083,0.22519,0.27579,0.09444,2.80757,2.24356,0.00232,0.000922996,0.000922996,0.000922996
13,41.7252,2.98414,1.77704,0.00217,0.32333,0.25035,0.30695,0.1057,2.79169,2.13283,0.00229,0.000975872,0.000975872,0.000975872
14,43.5925,2.92815,1.6261,0.0021,0.65807,0.31294,0.38863,0.13108,2.7806,1.87346,0.00221,0.00102479,0.00102479,0.00102479
15,45.9237,2.94719,1.49758,0.00205,0.71496,0.33488,0.44389,0.15952,2.69928,1.61316,0.00213,0.00106974,0.00106974,0.00106974
16,48.0069,2.85642,1.36174,0.00195,0.73244,0.34934,0.46954,0.17272,2.63408,1.51723,0.00209,0.00111074,0.00111074,0.00111074
17,49.695,2.73881,1.2513,0.00192,0.74723,0.36851,0.49261,0.18951,2.55559,1.37143,0.00205,0.00114778,0.00114778,0.00114778
18,52.073,2.8233,1.2381,0.00196,0.739,0.38769,0.50074,0.19295,2.51934,1.30027,0.00204,0.00118085,0.00118085,0.00118085
19,53.8664,2.76604,1.19925,0.00191,0.72784,0.39032,0.49844,0.19566,2.4482,1.25597,0.00203,0.00120997,0.00120997,0.00120997
20,56.1684,2.64608,1.12149,0.00181,0.70143,0.39076,0.48884,0.19138,2.39711,1.20644,0.00202,0.00123512,0.00123512,0.00123512
21,58.5222,2.93245,1.17785,0.00205,0.69339,0.39386,0.48959,0.19199,2.38636,1.19297,0.002,0.001208,0.001208,0.001208
22,61.3032,2.84128,1.11973,0.00189,0.68675,0.40175,0.493,0.19265,2.4006,1.15627,0.00202,0.0011684,0.0011684,0.0011684
23,63.7201,2.6752,1.07227,0.00178,0.64679,0.39181,0.46702,0.1655,2.58308,1.14145,0.00226,0.0011288,0.0011288,0.0011288
24,66.3892,2.74281,1.06762,0.0018,0.66006,0.42197,0.49884,0.18257,2.49861,1.05561,0.00214,0.0010892,0.0010892,0.0010892
25,68.8598,2.66744,1.0368,0.00177,0.7028,0.45799,0.5481,0.2245,2.27722,1.00449,0.00186,0.0010496,0.0010496,0.0010496
26,71.6207,2.59,1.0325,0.00175,0.72038,0.47748,0.571,0.24591,2.20376,0.96106,0.00175,0.00101,0.00101,0.00101
27,74.1308,2.63419,1.0615,0.00174,0.72154,0.48587,0.57585,0.24242,2.22676,0.95204,0.00178,0.0009704,0.0009704,0.0009704
28,76.5635,2.54763,0.98781,0.0017,0.73439,0.49439,0.5836,0.24446,2.21032,0.93154,0.00176,0.0009308,0.0009308,0.0009308
29,79.3056,2.66056,1.00482,0.00167,0.755,0.50884,0.60447,0.25658,2.16928,0.90886,0.00171,0.0008912,0.0008912,0.0008912
30,81.7203,2.57797,0.98818,0.00162,0.76185,0.51413,0.60953,0.25944,2.17379,0.90057,0.00171,0.0008516,0.0008516,0.0008516
31,84.1039,2.65776,1.01476,0.00168,0.761,0.51478,0.6091,0.25751,2.18082,0.9032,0.00171,0.000812,0.000812,0.000812
32,86.178,2.62403,0.99699,0.00166,0.76588,0.51839,0.61399,0.26298,2.15101,0.89344,0.00168,0.0007724,0.0007724,0.0007724
33,88.0502,2.50037,0.98169,0.00166,0.76345,0.51852,0.61429,0.26048,2.16966,0.89982,0.00171,0.0007328,0.0007328,0.0007328
34,90.0625,2.53288,0.99262,0.0017,0.76732,0.52045,0.61765,0.26324,2.16378,0.89867,0.00171,0.0006932,0.0006932,0.0006932
35,92.3193,2.60969,0.99621,0.00174,0.77416,0.5313,0.62891,0.27712,2.11472,0.88748,0.00166,0.0006536,0.0006536,0.0006536
36,94.6295,2.56642,0.98323,0.0017,0.79429,0.54123,0.65025,0.30549,2.04407,0.85888,0.00155,0.000614,0.000614,0.000614
37,96.8234,2.73535,1.01101,0.00174,0.80121,0.54213,0.65455,0.30282,2.07804,0.85391,0.00156,0.0005744,0.0005744,0.0005744
38,99.1427,2.58866,0.96562,0.00165,0.79748,0.53955,0.65126,0.29321,2.13141,0.86138,0.0016,0.0005348,0.0005348,0.0005348
39,101.495,2.62009,0.96211,0.00161,0.79731,0.53994,0.64923,0.28855,2.16217,0.86698,0.00161,0.0004952,0.0004952,0.0004952
40,103.813,2.5475,0.96842,0.00164,0.80167,0.5425,0.65124,0.28181,2.2024,0.88531,0.00164,0.0004556,0.0004556,0.0004556
41,108.063,2.79211,1.33846,0.00184,0.79078,0.53458,0.64177,0.27103,2.24184,0.91787,0.00167,0.000416,0.000416,0.000416
42,109.642,2.76494,1.3276,0.0018,0.78353,0.53065,0.63552,0.26271,2.27021,0.94615,0.00168,0.0003764,0.0003764,0.0003764
43,111.274,2.6089,1.25213,0.00179,0.77894,0.52565,0.62854,0.25914,2.27628,0.96703,0.00169,0.0003368,0.0003368,0.0003368
44,112.873,2.57389,1.19979,0.00171,0.77637,0.52794,0.62744,0.25852,2.2545,0.98337,0.00167,0.0002972,0.0002972,0.0002972
45,114.469,2.54407,1.15582,0.00175,0.7788,0.52833,0.62903,0.26204,2.22765,0.98167,0.00165,0.0002576,0.0002576,0.0002576
46,116.124,2.30839,1.07758,0.00163,0.77888,0.52774,0.6272,0.26534,2.20258,0.9749,0.00164,0.000218,0.000218,0.000218
47,117.863,2.36776,1.10504,0.0017,0.77528,0.52665,0.62813,0.27128,2.16794,0.97357,0.00161,0.0001784,0.0001784,0.0001784
48,119.747,2.33474,1.09145,0.0017,0.7752,0.52975,0.6287,0.28275,2.09899,0.97305,0.00157,0.0001388,0.0001388,0.0001388
49,121.573,2.33728,1.07065,0.00167,0.77667,0.53065,0.62952,0.28578,2.07958,0.97554,0.00155,9.92e-05,9.92e-05,9.92e-05
50,123.439,2.34005,1.06718,0.00162,0.77504,0.53131,0.62932,0.28758,2.06669,0.98159,0.00154,5.96e-05,5.96e-05,5.96e-05
