epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1693,4.59034,3.75203,0.00716,0,0,0,0,4.69218,3.59451,0.00877,8e-05,8e-05,8e-05
2,25.2577,4.50145,3.71336,0.00631,0,0,0,0,4.89724,3.64211,0.00973,0.000176436,0.000176436,0.000176436
3,27.6081,3.59044,3.52819,0.004,0,0,0,0,4.73811,3.69693,0.00905,0.000268912,0.000268912,0.000268912
4,29.8374,3.18483,3.31168,0.00314,0,0,0,0,3.25892,3.45048,0.00332,0.000357428,0.000357428,0.000357428
5,31.8013,2.89629,3.18349,0.00266,0,0,0,0,2.75095,3.27386,0.00231,0.000441984,0.000441984,0.000441984
6,33.9742,3.05388,3.01906,0.00258,0,0,0,0,2.67973,3.17468,0.00222,0.00052258,0.00052258,0.00052258
7,36.2273,3.00743,2.8063,0.00243,0,0,0,0,2.81047,3.00846,0.0023,0.000599216,0.000599216,0.000599216
8,38.3938,2.89667,2.57105,0.00222,0,0,0,0,2.73748,2.86884,0.00222,0.000671892,0.000671892,0.000671892
9,40.5184,2.91765,2.39197,0.00228,0.047,0.03004,0.03166,0.01041,2.67695,2.63829,0.00217,0.000740608,0.000740608,0.000740608
10,43.5187,3.13973,2.22504,0.0024,0.29667,0.18958,0.24228,0.07553,2.83944,2.45871,0.00228,0.000805364,0.000805364,0.000805364
11,45.9028,2.74905,1.9581,0.00204,0.33417,0.21355,0.26352,0.07692,3.11253,2.24949,0.00249,0.00086616,0.00086616,0.00086616
12,48.3247,2.75436,1.83682,0.002,0.38283,0.24465,0.30023,0.09138,3.12081,2.02319,0.0025,0.000922996,0.000922996,0.000922996
13,50.7939,2.76834,1.63988,0.00197,0.41983,0.26829,0.33715,0.10432,3.06588,1.90123,0.00244,0.000975872,0.000975872,0.000975872
14,52.9405,2.68207,1.53321,0.00193,0.65006,0.31377,0.40681,0.12991,2.88422,1.66891,0.00229,0.00102479,0.00102479,0.00102479
15,55.1431,2.80976,1.45853,0.00199,0.74495,0.34127,0.48143,0.18733,2.52303,1.4208,0.00199,0.00106974,0.00106974,0.00106974
16,57.2725,2.63089,1.33271,0.00184,0.75516,0.3515,0.49618,0.19296,2.5167,1.33544,0.00199,0.00111074,0.00111074,0.00111074
17,59.3191,2.60906,1.22376,0.00177,0.74643,0.36462,0.50208,0.18699,2.5867,1.19924,0.00205,0.00114778,0.00114778,0.00114778
18,61.3943,2.64704,1.16048,0.00179,0.75711,0.37821,0.5171,0.19396,2.56804,1.13516,0.00204,0.00118085,0.00118085,0.00118085
19,63.5393,2.63109,1.17188,0.00179,0.77234,0.38843,0.53372,0.2139,2.45136,1.0753,0.00197,0.00120997,0.00120997,0.00120997
20,65.6252,2.46811,1.08125,0.00174,0.77481,0.39994,0.54553,0.2392,2.26937,1.00455,0.00182,0.00123512,0.00123512,0.00123512
21,67.6858,2.77935,1.13387,0.00195,0.77009,0.40196,0.5453,0.23602,2.27847,0.99823,0.00183,0.001208,0.001208,0.001208
22,69.7559,2.67721,1.0976,0.00186,0.75766,0.40591,0.54544,0.23954,2.24285,0.9885,0.0018,0.0011684,0.0011684,0.0011684
23,71.7885,2.54091,1.04595,0.00172,0.75804,0.40963,0.54899,0.24695,2.18251,0.97757,0.00176,0.0011288,0.0011288,0.0011288
24,73.8533,2.53467,1.03177,0.0017,0.74094,0.40388,0.53261,0.22262,2.33045,1.02008,0.00183,0.0010892,0.0010892,0.0010892
25,75.9464,2.58071,1.03948,0.00167,0.72832,0.4023,0.52282,0.20285,2.46797,1.05908,0.00193,0.0010496,0.0010496,0.0010496
26,77.785,2.5164,1.00544,0.00167,0.73408,0.40601,0.53024,0.19416,2.5296,1.06232,0.00196,0.00101,0.00101,0.00101
27,79.9754,2.55263,1.00005,0.00171,0.74262,0.40824,0.53981,0.19955,2.49511,1.04633,0.00193,0.0009704,0.0009704,0.0009704
28,82.1572,2.4692,0.99184,0.00168,0.7698,0.42634,0.56676,0.25733,2.14137,0.92904,0.00167,0.0009308,0.0009308,0.0009308
29,84.2235,2.57268,0.98881,0.00171,0.77619,0.42603,0.56951,0.26808,2.0838,0.89927,0.00165,0.0008912,0.0008912,0.0008912
30,86.2358,2.38328,0.95392,0.00159,0.77811,0.42653,0.57091,0.2682,2.09194,0.8899,0.00167,0.0008516,0.0008516,0.0008516
31,88.2156,2.45953,0.97667,0.00164,0.7821,0.42795,0.57244,0.26553,2.12165,0.88626,0.00172,0.000812,0.000812,0.000812
32,90.577,2.52208,0.97951,0.00162,0.8075,0.43964,0.59465,0.27875,2.07386,0.8662,0.00165,0.0007724,0.0007724,0.0007724
33,92.896,2.40822,0.96002,0.00161,0.81939,0.4451,0.60431,0.28028,2.08548,0.86911,0.00164,0.0007328,0.0007328,0.0007328
34,95.5128,2.43466,0.97068,0.00158,0.8256,0.44773,0.60933,0.27736,2.11884,0.87196,0.00165,0.0006932,0.0006932,0.0006932
35,97.9771,2.4376,0.97391,0.00164,0.82926,0.44914,0.61198,0.27251,2.15109,0.87692,0.00167,0.0006536,0.0006536,0.0006536
36,100.263,2.37312,0.95093,0.00157,0.8374,0.45521,0.62072,0.28087,2.12611,0.86706,0.00164,0.000614,0.000614,0.000614
37,102.425,2.56045,0.96903,0.00168,0.84199,0.45639,0.6233,0.28754,2.09918,0.85548,0.00162,0.0005744,0.0005744,0.0005744
38,104.548,2.36956,0.93338,0.00156,0.8491,0.45915,0.6283,0.29933,2.05339,0.84439,0.00158,0.0005348,0.0005348,0.0005348
39,106.949,2.45611,0.93987,0.00158,0.85363,0.46001,0.63086,0.30701,2.02701,0.83702,0.00156,0.0004952,0.0004952,0.0004952
40,109.237,2.33063,0.95069,0.00155,0.85818,0.46022,0.63308,0.31256,2.01185,0.8322,0.00155,0.0004556,0.0004556,0.0004556
41,113.995,2.36028,1.14406,0.0016,0.85503,0.46107,0.63346,0.31459,2.00709,0.83637,0.00154,0.000416,0.000416,0.000416
42,115.839,2.40163,1.13314,0.00165,0.85272,0.46004,0.63122,0.31501,1.99327,0.84294,0.00153,0.0003764,0.0003764,0.0003764
43,117.671,2.29894,1.08895,0.00158,0.85328,0.46086,0.63233,0.31652,1.98215,0.85132,0.00152,0.0003368,0.0003368,0.0003368
44,119.529,2.22211,1.06834,0.00155,0.84942,0.45873,0.62963,0.31221,1.9853,0.86876,0.00152,0.0002972,0.0002972,0.0002972
45,121.33,2.21681,1.00876,0.00158,0.84833,0.45798,0.62795,0.30716,2.00163,0.88201,0.00153,0.0002576,0.0002576,0.0002576
46,123.141,2.1268,0.98766,0.00152,0.84632,0.45649,0.62497,0.29988,2.02433,0.89473,0.00155,0.000218,0.000218,0.000218
47,124.922,2.1541,1.02857,0.00156,0.84504,0.45468,0.62292,0.29517,2.03661,0.90443,0.00155,0.0001784,0.0001784,0.0001784
48,126.793,2.23323,1.03008,0.00159,0.8428,0.4551,0.6214,0.2948,2.03157,0.91074,0.00155,0.0001388,0.0001388,0.0001388
49,128.621,2.20048,1.01886,0.00158,0.84199,0.45607,0.62225,0.29639,2.02051,0.91415,0.00154,9.92e-05,9.92e-05,9.92e-05
50,130.395,2.16769,0.99886,0.00154,0.84295,0.45543,0.62201,0.29967,2.0094,0.91219,0.00153,5.96e-05,5.96e-05,5.96e-05
