epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6336,4.74008,3.76496,0.0074,0,0,0,0,4.49455,3.59487,0.00777,8e-05,8e-05,8e-05
2,37.6541,4.64219,3.72594,0.00648,0,0,0,0,4.85707,3.64397,0.00929,0.000176436,0.000176436,0.000176436
3,39.8992,3.66302,3.533,0.00413,0,0,0,0,4.06094,3.6975,0.0064,0.000268912,0.000268912,0.000268912
4,42.2232,3.34484,3.31195,0.00335,0,0,0,0,3.53179,3.54571,0.00447,0.000357428,0.000357428,0.000357428
5,44.2484,3.08494,3.18145,0.00293,0,0,0,0,3.09267,3.36151,0.00304,0.000441984,0.000441984,0.000441984
6,46.3367,3.25277,3.01997,0.00281,0,0,0,0,3.16474,3.29643,0.00316,0.00052258,0.00052258,0.00052258
7,48.6385,3.14282,2.80467,0.00253,0,0,0,0,3.4428,3.2451,0.00349,0.000599216,0.000599216,0.000599216
8,51.1972,2.99382,2.57012,0.00228,0,0,0,0,3.39661,3.19076,0.00341,0.000671892,0.000671892,0.000671892
9,53.8112,3.22231,2.48434,0.00257,0.0005,0.00038,0.00125,0.00042,3.50183,3.25325,0.00358,0.000740608,0.000740608,0.000740608
10,56.3607,3.25983,2.24342,0.00242,0,0,0,0,3.15999,3.44163,0.00317,0.000805364,0.000805364,0.000805364
11,58.7068,2.90239,2.0626,0.00218,0.00167,0.00128,0.00352,0.00162,2.95653,3.21328,0.00257,0.00086616,0.00086616,0.00086616
12,60.9973,2.8488,1.83638,0.00204,0.105,0.08044,0.08788,0.02267,3.11024,2.68508,0.00252,0.000922996,0.000922996,0.000922996
13,63.3806,2.82535,1.68224,0.00203,0.20117,0.15411,0.17888,0.04933,3.12384,2.4769,0.00251,0.000975872,0.000975872,0.000975872
14,65.6604,2.84052,1.57091,0.00205,0.32867,0.25179,0.29413,0.08937,2.9552,2.1172,0.00236,0.00102479,0.00102479,0.00102479
15,68.2483,2.98308,1.47328,0.00206,0.68033,0.33516,0.42545,0.15671,2.63075,1.68491,0.00211,0.00106974,0.00106974,0.00106974
16,70.7015,2.85942,1.43476,0.00201,0.712,0.35304,0.46448,0.17243,2.58917,1.53029,0.00206,0.00111074,0.00111074,0.00111074
17,72.86,2.82441,1.28873,0.00191,0.73852,0.40822,0.52167,0.19967,2.50704,1.27535,0.00198,0.00114778,0.00114778,0.00114778
18,75.5931,2.86134,1.24716,0.00195,0.73419,0.42674,0.53674,0.21006,2.46995,1.18956,0.00197,0.00118085,0.00118085,0.00118085
19,77.9341,2.8488,1.2324,0.00191,0.72157,0.43414,0.53414,0.21014,2.45114,1.13929,0.002,0.00120997,0.00120997,0.00120997
20,79.9474,2.656,1.12413,0.00181,0.70049,0.43616,0.52745,0.20826,2.38812,1.10223,0.00201,0.00123512,0.00123512,0.00123512
21,82.2531,2.94073,1.18966,0.00205,0.68898,0.43603,0.5243,0.20256,2.42182,1.09352,0.00205,0.001208,0.001208,0.001208
22,84.5405,2.83987,1.14449,0.00195,0.70296,0.45493,0.54633,0.22057,2.34403,1.05644,0.00193,0.0011684,0.0011684,0.0011684
23,86.6402,2.6729,1.06849,0.00179,0.71117,0.46974,0.56071,0.23803,2.24878,1.01267,0.00181,0.0011288,0.0011288,0.0011288
24,88.7842,2.65865,1.04304,0.00173,0.71319,0.48302,0.56871,0.24217,2.24471,0.99065,0.00176,0.0010892,0.0010892,0.0010892
25,91.0413,2.70287,1.064,0.00179,0.71109,0.47893,0.56264,0.23565,2.27101,0.99616,0.00178,0.0010496,0.0010496,0.0010496
26,93.0217,2.65579,1.03759,0.00176,0.71099,0.47893,0.56192,0.23491,2.27176,0.98384,0.00179,0.00101,0.00101,0.00101
27,95.1431,2.69758,1.04172,0.00174,0.70371,0.47293,0.55452,0.22848,2.29189,0.98776,0.00183,0.0009704,0.0009704,0.0009704
28,97.1827,2.62812,1.01986,0.00174,0.71984,0.48468,0.57029,0.23462,2.25732,0.96094,0.00179,0.0009308,0.0009308,0.0009308
29,99.4438,2.70271,1.01359,0.00173,0.74134,0.5,0.59215,0.25835,2.14928,0.92058,0.00167,0.0008912,0.0008912,0.0008912
30,101.497,2.49274,0.97627,0.00163,0.75427,0.50872,0.60625,0.27078,2.11728,0.89657,0.00162,0.0008516,0.0008516,0.0008516
31,103.679,2.62774,0.9909,0.00174,0.76921,0.50727,0.61409,0.26898,2.16305,0.8961,0.00165,0.000812,0.000812,0.000812
32,105.952,2.75837,1.02101,0.00182,0.77726,0.52171,0.6311,0.27541,2.18069,0.87841,0.00166,0.0007724,0.0007724,0.0007724
33,107.704,2.5909,1.01186,0.00175,0.78581,0.5284,0.64224,0.2891,2.11795,0.86601,0.00161,0.0007328,0.0007328,0.0007328
34,110.078,2.67448,1.01463,0.00175,0.79704,0.534,0.64944,0.29981,2.07396,0.8591,0.00159,0.0006932,0.0006932,0.0006932
35,112.537,2.53683,1.00732,0.00169,0.79616,0.53461,0.65046,0.29322,2.08741,0.86656,0.00161,0.0006536,0.0006536,0.0006536
