epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.5389,4.77107,3.77558,0.00741,0,0,0,0,4.69218,3.59451,0.00877,8e-05,8e-05,8e-05
2,7.74022,4.68966,3.731,0.00653,0,0,0,0,5.04204,3.66174,0.01048,0.000176436,0.000176436,0.000176436
3,10.5543,3.7551,3.53611,0.00414,0,0,0,0,4.67546,3.682,0.00862,0.000268912,0.000268912,0.000268912
4,12.8894,3.30715,3.3162,0.00324,0,0,0,0,3.20437,3.46004,0.00319,0.000357428,0.000357428,0.000357428
5,14.8817,3.04322,3.18336,0.00279,0,0,0,0,2.91716,3.26933,0.00239,0.000441984,0.000441984,0.000441984
6,17.3534,3.20296,3.02128,0.00269,0,0,0,0,2.91483,3.16561,0.00239,0.00052258,0.00052258,0.00052258
7,19.8476,3.16774,2.81252,0.00252,0,0,0,0,3.19378,3.02206,0.00267,0.000599216,0.000599216,0.000599216
8,22.4619,3.05757,2.59393,0.00232,0,0,0,0,2.9076,2.88752,0.00244,0.000671892,0.000671892,0.000671892
9,24.8586,3.09104,2.42648,0.00239,0.01633,0.01044,0.01317,0.00416,2.89399,2.73846,0.00246,0.000740608,0.000740608,0.000740608
10,27.5619,3.30062,2.26312,0.00247,0.11983,0.07658,0.10316,0.02893,3.08424,2.74162,0.00263,0.000805364,0.000805364,0.000805364
11,29.8887,2.89407,1.99958,0.0021,0.156,0.09969,0.12142,0.03163,3.28295,2.6387,0.00279,0.00086616,0.00086616,0.00086616
12,32.3864,2.92027,1.87315,0.00209,0.1925,0.12302,0.15069,0.04,3.33222,2.42177,0.0028,0.000922996,0.000922996,0.000922996
13,34.6981,2.92824,1.6838,0.00205,0.23667,0.15124,0.18822,0.05113,3.31626,2.27293,0.00277,0.000975872,0.000975872,0.000975872
14,36.8625,2.864,1.57673,0.00202,0.60452,0.18479,0.25054,0.07009,3.23687,1.9876,0.00267,0.00102479,0.00102479,0.00102479
15,39.0125,2.98192,1.49708,0.00207,0.74481,0.23625,0.37159,0.13143,2.82532,1.6153,0.00229,0.00106974,0.00106974,0.00106974
16,41.1447,2.7963,1.36295,0.00193,0.75113,0.26968,0.41044,0.14634,2.74995,1.4712,0.00222,0.00111074,0.00111074,0.00111074
17,43.1502,2.77465,1.26179,0.00187,0.73997,0.33252,0.46686,0.16807,2.65997,1.2614,0.00213,0.00114778,0.00114778,0.00114778
18,45.3566,2.77265,1.19305,0.00185,0.74817,0.34966,0.4876,0.1796,2.61589,1.17784,0.0021,0.00118085,0.00118085,0.00118085
19,47.5322,2.78611,1.21587,0.00187,0.76617,0.36223,0.50465,0.19387,2.52327,1.11285,0.00204,0.00120997,0.00120997,0.00120997
20,49.6695,2.61492,1.11342,0.00181,0.7704,0.36987,0.5144,0.22008,2.30484,1.05717,0.00186,0.00123512,0.00123512,0.00123512
21,51.7811,2.92866,1.1563,0.00203,0.76134,0.37086,0.51344,0.21845,2.30786,1.05708,0.00186,0.001208,0.001208,0.001208
22,53.8423,2.80535,1.11395,0.00192,0.76101,0.38311,0.52654,0.22093,2.31122,1.04216,0.00185,0.0011684,0.0011684,0.0011684
23,55.6215,2.67996,1.06496,0.00178,0.75348,0.39194,0.53393,0.22273,2.31425,1.03806,0.00185,0.0011288,0.0011288,0.0011288
24,57.6127,2.66737,1.04909,0.00177,0.70252,0.37603,0.49031,0.19209,2.50081,1.06909,0.00195,0.0010892,0.0010892,0.0010892
25,59.7256,2.66885,1.04738,0.00171,0.69413,0.37874,0.48764,0.1817,2.58304,1.07402,0.00201,0.0010496,0.0010496,0.0010496
26,61.7626,2.61303,1.01032,0.00171,0.70344,0.38534,0.50294,0.17975,2.59295,1.05835,0.002,0.00101,0.00101,0.00101
27,63.8922,2.65597,1.01085,0.00175,0.71013,0.38897,0.51461,0.18811,2.51579,1.03664,0.00195,0.0009704,0.0009704,0.0009704
28,66.122,2.57822,1.02732,0.0017,0.75793,0.41666,0.56024,0.24944,2.14131,0.93599,0.00167,0.0009308,0.0009308,0.0009308
29,68.5038,2.66756,1.0129,0.00172,0.76546,0.419,0.56471,0.25411,2.12678,0.91882,0.00168,0.0008912,0.0008912,0.0008912
30,70.8508,2.51342,0.97117,0.00163,0.77454,0.42624,0.57557,0.25919,2.12933,0.90397,0.00167,0.0008516,0.0008516,0.0008516
31,72.8902,2.56627,0.98979,0.00166,0.78062,0.42912,0.58093,0.26074,2.13523,0.89989,0.00167,0.000812,0.000812,0.000812
32,75.2629,2.61677,0.99056,0.00163,0.79965,0.43881,0.59389,0.26088,2.19696,0.88972,0.0017,0.0007724,0.0007724,0.0007724
33,77.6641,2.55395,0.97945,0.00168,0.80386,0.44158,0.59812,0.25939,2.22442,0.89235,0.00171,0.0007328,0.0007328,0.0007328
34,80.2812,2.58967,0.99786,0.00166,0.8101,0.44371,0.60299,0.26247,2.20565,0.8902,0.0017,0.0006932,0.0006932,0.0006932
35,82.8325,2.57631,0.99516,0.0017,0.818,0.44531,0.60683,0.26702,2.17901,0.88433,0.00169,0.0006536,0.0006536,0.0006536
36,85.3616,2.4885,0.97458,0.0016,0.82317,0.4501,0.61287,0.27703,2.12936,0.8729,0.00164,0.000614,0.000614,0.000614
37,87.6907,2.67673,0.99242,0.00171,0.82333,0.44861,0.61213,0.27843,2.12396,0.86682,0.00163,0.0005744,0.0005744,0.0005744
38,89.9889,2.51905,0.95809,0.00162,0.82195,0.44691,0.60987,0.27772,2.13153,0.86445,0.00163,0.0005348,0.0005348,0.0005348
39,92.2965,2.60535,0.96736,0.00165,0.82192,0.44616,0.60931,0.27626,2.14839,0.86347,0.00164,0.0004952,0.0004952,0.0004952
40,94.34,2.48667,0.97836,0.00162,0.82516,0.44836,0.61212,0.27887,2.15068,0.86019,0.00164,0.0004556,0.0004556,0.0004556
41,98.4011,2.48266,1.16622,0.00165,0.82593,0.44875,0.61173,0.27925,2.14976,0.86941,0.00164,0.000416,0.000416,0.000416
42,100.001,2.53716,1.16145,0.0017,0.82229,0.44946,0.61131,0.28009,2.13663,0.87778,0.00163,0.0003764,0.0003764,0.0003764
