epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5417,4.78677,3.76013,0.00738,0,0,0,0,4.74647,3.62683,0.00837,8e-05,8e-05,8e-05
2,20.2889,4.69834,3.73866,0.00669,0,0,0,0,4.48076,3.6041,0.00705,0.000176436,0.000176436,0.000176436
3,22.9754,3.78971,3.52802,0.00426,0,0,0,0,5.19848,4.47166,0.01083,0.000268912,0.000268912,0.000268912
4,25.316,3.35943,3.32093,0.00328,0,0,0,0,5.06084,4.02901,0.00962,0.000357428,0.000357428,0.000357428
5,27.1856,3.03548,3.19075,0.00285,0,0,0,0,2.89469,3.30556,0.00239,0.000441984,0.000441984,0.000441984
6,29.6758,3.28744,3.03554,0.00285,0,0,0,0,2.99116,3.21023,0.00237,0.00052258,0.00052258,0.00052258
7,31.8332,3.02412,2.80703,0.00244,0,0,0,0,3.28677,3.071,0.00258,0.000599216,0.000599216,0.000599216
8,34.3056,3.07333,2.61327,0.00238,0,0,0,0,3.2199,2.95216,0.00255,0.000671892,0.000671892,0.000671892
9,36.5021,2.97666,2.44175,0.00234,0.0545,0.04755,0.04398,0.01409,3.013,2.78215,0.00241,0.000740608,0.000740608,0.000740608
10,38.8171,3.04214,2.19407,0.0023,0.14567,0.12709,0.13878,0.04228,2.98804,2.68751,0.0024,0.000805364,0.000805364,0.000805364
11,40.8118,2.85169,2.0052,0.00213,0.1465,0.12782,0.13798,0.04048,3.1136,2.57859,0.00255,0.00086616,0.00086616,0.00086616
