epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9956,4.73374,3.78243,0.00729,0,0,0,0,4.55563,3.59228,0.00827,8e-05,8e-05,8e-05
2,34.4476,4.71997,3.74856,0.00657,0,0,0,0,4.85906,3.63884,0.00959,0.000176436,0.000176436,0.000176436
3,36.9383,3.73245,3.53178,0.00412,0,0,0,0,5.18611,3.95149,0.01153,0.000268912,0.000268912,0.000268912
4,39.1768,3.4244,3.3154,0.00331,0,0,0,0,4.14761,3.65197,0.00691,0.000357428,0.000357428,0.000357428
5,41.295,3.09604,3.17609,0.00284,0,0,0,0,2.80976,3.29425,0.0024,0.000441984,0.000441984,0.000441984
6,43.6609,3.24155,3.03062,0.00276,0,0,0,0,2.73873,3.16249,0.00223,0.00052258,0.00052258,0.00052258
7,45.8092,3.14459,2.82595,0.00251,0,0,0,0,3.11607,2.9714,0.0025,0.000599216,0.000599216,0.000599216
8,47.9595,3.07067,2.58812,0.00228,0,0,0,0,3.1038,2.84857,0.00252,0.000671892,0.000671892,0.000671892
9,50.0113,3.03793,2.42367,0.00233,0.054,0.03571,0.04087,0.01186,2.98642,2.68656,0.00244,0.000740608,0.000740608,0.000740608
10,52.2332,3.29358,2.22986,0.00243,0.21233,0.14042,0.17242,0.04592,3.06523,2.58176,0.0025,0.000805364,0.000805364,0.000805364
11,53.9571,2.86261,2.02639,0.00209,0.2815,0.18616,0.22695,0.06863,2.90217,2.38545,0.00235,0.00086616,0.00086616,0.00086616
12,56.5523,2.90843,1.89133,0.00212,0.36667,0.24248,0.29966,0.09837,2.78466,2.16617,0.00225,0.000922996,0.000922996,0.000922996
13,58.3553,2.83798,1.66671,0.002,0.42433,0.28061,0.34529,0.11584,2.75785,2.03453,0.00223,0.000975872,0.000975872,0.000975872
14,60.4829,2.80303,1.52607,0.00198,0.5395,0.35677,0.44043,0.15009,2.73919,1.71619,0.0022,0.00102479,0.00102479,0.00102479
15,62.5507,2.80779,1.41085,0.00196,0.62667,0.41442,0.51835,0.20552,2.49543,1.39774,0.00203,0.00106974,0.00106974,0.00106974
16,64.638,2.79719,1.31992,0.00195,0.6495,0.42952,0.53906,0.21713,2.46494,1.27151,0.00201,0.00111074,0.00111074,0.00111074
17,66.6462,2.83586,1.27448,0.00196,0.71922,0.44076,0.55822,0.22675,2.43952,1.09797,0.00198,0.00114778,0.00114778,0.00114778
18,68.6782,2.84218,1.19223,0.0019,0.72042,0.4444,0.55958,0.22571,2.43287,1.04407,0.00198,0.00118085,0.00118085,0.00118085
19,70.9338,2.83469,1.1738,0.00184,0.70712,0.43723,0.54321,0.21222,2.46661,1.02976,0.00205,0.00120997,0.00120997,0.00120997
20,73.0919,2.66642,1.09958,0.00179,0.6561,0.40571,0.49061,0.17238,2.58125,1.11356,0.00226,0.00123512,0.00123512,0.00123512
21,75.3817,3.06583,1.17568,0.00215,0.64763,0.40119,0.481,0.16805,2.58042,1.14663,0.00228,0.001208,0.001208,0.001208
