epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.53858,4.57649,3.74393,0.00715,0,0,0,0,4.49455,3.59487,0.00777,8e-05,8e-05,8e-05
2,7.82093,4.46818,3.70625,0.00633,0,0,0,0,4.82669,3.64272,0.0092,0.000176436,0.000176436,0.000176436
3,10.4511,3.50542,3.5246,0.00402,0,0,0,0,3.97142,3.6425,0.00616,0.000268912,0.000268912,0.000268912
4,13.0035,3.23958,3.31332,0.00326,0,0,0,0,3.3453,3.48727,0.00378,0.000357428,0.000357428,0.000357428
5,15.3656,2.93525,3.17832,0.00276,0,0,0,0,2.95245,3.36142,0.00281,0.000441984,0.000441984,0.000441984
6,17.8223,3.08201,3.01688,0.00266,0,0,0,0,2.92308,3.30128,0.00269,0.00052258,0.00052258,0.00052258
7,20.3996,3.0169,2.80505,0.00245,0,0,0,0,3.37599,3.23222,0.00332,0.000599216,0.000599216,0.000599216
8,23.0705,2.838,2.54611,0.00218,0,0,0,0,3.26214,3.10882,0.0032,0.000671892,0.000671892,0.000671892
9,25.6686,3.0743,2.45631,0.00251,0.00283,0.00217,0.00407,0.00215,3.32398,3.04889,0.00322,0.000740608,0.000740608,0.000740608
10,28.2082,3.16818,2.23122,0.00244,0.04033,0.0309,0.03246,0.00825,3.29071,3.07532,0.00302,0.000805364,0.000805364,0.000805364
11,30.6863,2.77547,2.05429,0.00213,0.06567,0.05031,0.05196,0.0135,3.07979,2.83898,0.00253,0.00086616,0.00086616,0.00086616
12,32.7637,2.73184,1.82337,0.00201,0.2875,0.22025,0.24372,0.07588,2.97778,2.29632,0.00236,0.000922996,0.000922996,0.000922996
13,34.7957,2.72603,1.65551,0.002,0.36567,0.28013,0.32117,0.10468,2.88784,2.11294,0.00228,0.000975872,0.000975872,0.000975872
14,36.5702,2.68247,1.54979,0.00198,0.44383,0.34002,0.39339,0.12965,2.77655,1.86632,0.00219,0.00102479,0.00102479,0.00102479
15,38.9381,2.86677,1.46633,0.00204,0.70161,0.39696,0.48494,0.19021,2.50125,1.55442,0.00197,0.00106974,0.00106974,0.00106974
16,41.0811,2.68712,1.41013,0.00192,0.72071,0.39454,0.49947,0.19483,2.5194,1.45079,0.00197,0.00111074,0.00111074,0.00111074
17,42.9727,2.67251,1.24738,0.00184,0.72663,0.41713,0.52116,0.19357,2.57374,1.2747,0.00201,0.00114778,0.00114778,0.00114778
18,45.4334,2.76318,1.20686,0.00191,0.73208,0.43756,0.54002,0.21098,2.48723,1.1878,0.00195,0.00118085,0.00118085,0.00118085
19,47.7058,2.72416,1.18387,0.00186,0.73888,0.44893,0.55447,0.22606,2.40529,1.12588,0.00192,0.00120997,0.00120997,0.00120997
20,49.89,2.54167,1.09446,0.00177,0.7371,0.45858,0.56151,0.24429,2.28008,1.05634,0.00183,0.00123512,0.00123512,0.00123512
21,52.1214,2.81078,1.15345,0.002,0.73721,0.46693,0.56985,0.24534,2.28589,1.03633,0.00181,0.001208,0.001208,0.001208
22,54.4336,2.70542,1.11117,0.00189,0.73518,0.48207,0.58033,0.24375,2.29982,1.0126,0.00179,0.0011684,0.0011684,0.0011684
